Player,APM,Appearances,RAPM,year
Shabazz Muhammad,-7.945655936125677,1147,-1.781736338790528,2014
P.J. Tucker,-0.3027385995767649,9999,-0.1590721513373671,2014
Miles Plumlee,-2.310586526478057,7797,-0.9000451604502092,2014
Eric Bledsoe,3.007463039791445,5688,0.9000371750668796,2014
Channing Frye,4.111952594263924,9193,2.3316042256162093,2014
Goran Dragic,6.073736537750003,10623,2.631049676667846,2014
Markieff Morris,1.4391973859612324,8660,0.8972481436751221,2014
Gerald Green,-0.5633416767816002,9371,-0.791987812660307,2014
Marcus Morris Sr.,2.2905029737739566,7213,1.0672452557298373,2014
Ish Smith,1.0602464857566964,4029,-0.2621186168216625,2014
Alex Len,-6.104407157313156,1475,-1.4576331454122615,2014
Nando De Colo,-2.0771907146190998,1929,-0.8910005556168308,2014
Chuck Hayes,0.0320976930067622,3040,0.4733780105169712,2014
Aaron Brooks,0.3331959901093578,6326,-0.6207362775523338,2014
Marvin Williams,0.9396190945300288,6355,0.2702539722402682,2014
Enes Freedom,-3.897020543614934,8125,-2.562731347992924,2014
Meyers Leonard,-6.210954084858904,1510,-1.6734015347563371,2014
CJ McCollum,0.39477968628681,2003,-0.4353854159829036,2014
Allen Crabbe,1.574892191116667,403,-0.049719753166774,2014
Victor Claver,2.707459242132538,752,0.3795555329443574,2014
Shavlik Randolph,10.00658585296728,364,1.0237347763647633,2014
Archie Goodwin,-5.953616716648299,2169,-2.3865890226786,2014
Leandro Barbosa,3.290908234255551,1448,0.6533676904593901,2014
Gerald Wallace,1.37801491501074,5491,-0.6555912516691892,2014
Dexter Pittman,-1.3539769315737618,10,-0.0013859195926334,2014
Cole Aldrich,-0.0378308359410114,1266,-0.107421522414004,2014
Will Bynum,-1.0592278385593883,4185,-0.6095599077045937,2014
Otto Porter Jr.,1.2537361025830536,1249,-0.299812466127606,2014
Orlando Johnson,-2.6441517606563707,1506,-0.8660553024514352,2014
Julyan Stone,-9.535905177689855,450,-1.1534751540482802,2014
Dwight Buycks,3.007962332767434,554,0.1370155440944657,2014
Austin Daye,-2.217185448066045,606,-0.2804591332494234,2014
James Johnson,4.281345101535698,3729,1.84105234837399,2014
Darius Morris,-3.565936856169374,1214,-0.7508800380380958,2014
AJ Price,2.3021686452712884,401,0.0315485541956205,2014
Dewayne Dedmon,-0.095140489597218,1511,-0.3393684738750664,2014
James Nunnally,-0.7637811524563382,664,-0.2912379272901135,2014
Jared Cunningham,9.586960082411126,333,0.5562666892034285,2014
Larry Sanders,1.0304965987513932,2242,0.1905225293259614,2014
Tim Duncan,0.438104659293848,11338,0.9434893159990424,2014
Marco Belinelli,-0.482707584934837,9352,-0.6896582689492212,2014
Tony Parker,1.4362729727339716,10690,0.2588729314659344,2014
Jeff Ayres,-2.028114049211699,4016,-0.2100247272419576,2014
Cory Joseph,1.094289887524531,4009,-0.5636927407121209,2014
Manu Ginobili,7.268213362894754,8562,3.891411683841213,2014
Patty Mills,5.5456089633506265,7401,2.4738552304254804,2014
Boris Diaw,-0.0875819140775013,10172,0.752118762708908,2014
Aron Baynes,-1.313766437393992,2356,0.2650506660582034,2014
Matt Bonner,0.7002519663547354,3213,0.747059942065011,2014
Othyus Jeffers,15.797581341729286,168,0.6910143146458373,2014
Jason Maxiell,-1.4040766722639642,1898,-0.5898454747629197,2014
Shane Battier,0.1998993197030554,6369,0.5604949838048355,2014
Roger Mason Jr.,-0.0523381756847761,985,-0.3854224318011777,2014
Michael Beasley,-2.321048349705112,3253,-1.43700469893462,2014
Tornike Shengelia,7.904194731638237,608,-0.2121760926913704,2014
Tyshawn Taylor,-12.619352699591326,1050,-2.488502666634534,2014
Ronnie Brewer,-8.648545777746683,639,-1.3777848146752267,2014
Greg Smith,-3.0398743198605,410,-0.3645583814751722,2014
Francisco Garcia,0.1101590555261398,4471,-0.3317694627104869,2014
Kent Bazemore,-1.7000482640772627,3845,-1.6695508639604857,2014
John Jenkins,-6.32836469086397,631,-0.481749434232412,2014
Brandon Rush,-1.034206461468554,1604,-0.8819229891352244,2014
John Lucas III,-3.707196574828135,2295,-1.6004548839155697,2014
Mike Harris,3.8878437917068736,877,0.804388150909797,2014
Rudy Gay,-0.4178732140875079,9828,-0.1083630613974774,2014
Ray McCallum,4.973832551565488,3474,-0.0273296084331023,2014
Kobe Bryant,3.2960659966148267,711,0.1358526084035651,2014
Shawne Williams,2.6346672042475974,3049,1.216675844455094,2014
Xavier Henry,3.43383745622349,3770,1.0750148454297863,2014
Byron Mullens,-6.25763864309441,1666,-2.2217800810889345,2014
Kawhi Leonard,5.421126406836732,10492,2.61986183098576,2014
Tiago Splitter,-0.3388262233438939,7064,0.9365625755516842,2014
Danny Green,4.937741129777341,8551,2.154570497956177,2014
Shane Larkin,1.6269257443932594,1949,0.2129843230105835,2014
Gal Mekel,-4.557350101544055,1174,-1.043088664721219,2014
Ronnie Price,1.3846130048672654,1402,-0.0564621443997865,2014
Solomon Jones,-5.6513252810780905,308,-0.3756089403204433,2014
Vitor Faverani,-5.502453311442933,1886,-1.277330367352142,2014
Josh Harrellson,0.8361031861719477,1257,0.086894421552418,2014
Gigi Datome,7.462530634132699,942,1.4428577679485552,2014
James Jones,8.243257687773239,1317,1.6833660602227083,2014
Kenyon Martin,5.262812327102099,2342,1.676722352020278,2014
Daniel Orton,-0.0336096635020282,1042,-0.2122301776184171,2014
JaVale McGee,3.084391897490504,328,0.2707730379555986,2014
