Group,APM,Appearances,year
"('Arron Afflalo', 'Jusuf Nurkic', 'Kenneth Faried', 'Ty Lawson', 'Wilson Chandler')",8.60247212416844,1052,2015
"('Chandler Parsons', 'Dirk Nowitzki', 'Monta Ellis', 'Rajon Rondo', 'Tyson Chandler')",8.619336123402793,1854,2015
"('Channing Frye', 'Evan Fournier', 'Nikola Vucevic', 'Tobias Harris', 'Victor Oladipo')",4.395324644153362,817,2015
"('Bradley Beal', 'John Wall', 'Kris Humphries', 'Marcin Gortat', 'Paul Pierce')",9.967867352509131,1221,2015
"('Derrick Rose', 'Jimmy Butler', 'Joakim Noah', 'Mike Dunleavy', 'Pau Gasol')",13.206376048844971,1944,2015
"('Eric Bledsoe', 'Goran Dragic', 'Marcus Morris Sr.', 'Markieff Morris', 'Miles Plumlee')",11.122989059522585,938,2015
"('Anderson Varejao', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Shawn Marion')",8.81375657788756,1000,2015
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'Jamal Crawford', 'Matt Barnes')",18.307002051660096,938,2015
"('Ben McLemore', 'Darren Collison', 'DeMarcus Cousins', 'Jason Thompson', 'Rudy Gay')",18.09249384502086,1713,2015
"('Arron Afflalo', 'Kenneth Faried', 'Timofey Mozgov', 'Ty Lawson', 'Wilson Chandler')",9.462893635595854,1638,2015
"('Anthony Davis', 'Eric Gordon', 'Omer Asik', 'Quincy Pondexter', 'Tyreke Evans')",10.246924195461132,1514,2015
"('Ed Davis', 'Jordan Hill', 'Kobe Bryant', 'Ronnie Price', 'Wesley Johnson')",3.768408383745375,1053,2015
"('Anthony Davis', 'Jrue Holiday', 'Luke Babbitt', 'Omer Asik', 'Tyreke Evans')",12.268256230898103,801,2015
"('Dwight Howard', 'James Harden', 'Jason Terry', 'Terrence Jones', 'Trevor Ariza')",20.139125897119165,918,2015
"('Danilo Gallinari', 'Kenneth Faried', 'Randy Foye', 'Ty Lawson', 'Wilson Chandler')",8.384219626528127,1049,2015
"('Arron Afflalo', 'Damian Lillard', 'LaMarcus Aldridge', 'Nicolas Batum', 'Robin Lopez')",3.0682474181399737,1380,2015
"('Garrett Temple', 'John Wall', 'Marcin Gortat', 'Nene', 'Paul Pierce')",11.41880441032052,938,2015
"('Aaron Gordon', 'Elfrid Payton', 'Evan Fournier', 'Nikola Vucevic', 'Victor Oladipo')",4.989813926820747,919,2016
"('Amir Johnson', 'Avery Bradley', 'Isaiah Thomas', 'Jae Crowder', 'Jared Sullinger')",8.345941876519094,2922,2016
"('Andrew Wiggins', 'Gorgui Dieng', 'Karl-Anthony Towns', 'Ricky Rubio', 'Tayshaun Prince')",5.461112824210377,1014,2016
"('Andrew Wiggins', 'Gorgui Dieng', 'Karl-Anthony Towns', 'Ricky Rubio', 'Zach LaVine')",9.26816226430362,2618,2016
"('JR Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Tristan Thompson')",16.87807456345604,3157,2016
"('JR Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Timofey Mozgov')",5.263349072957915,1015,2016
"('Andre Roberson', 'Kevin Durant', 'Russell Westbrook', 'Serge Ibaka', 'Steven Adams')",14.972773746954864,4337,2016
"('Dion Waiters', 'Kevin Durant', 'Russell Westbrook', 'Serge Ibaka', 'Steven Adams')",15.072402519144047,1791,2016
"('Derrick Rose', 'Jimmy Butler', 'Nikola Mirotic', 'Pau Gasol', 'Tony Snell')",4.676326000314178,803,2016
