year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2016,Golden State Warriors,Andre Iguodala,Andrew Bogut,Stephen Curry,Klay Thompson,Draymond Green,5.877144347566055,945
2016,Golden State Warriors,Andre Iguodala,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,18.577709732386232,1228
2016,Atlanta Hawks,Kyle Korver,Thabo Sefolosha,Paul Millsap,Al Horford,Jeff Teague,-2.8494382170301664,958
2016,Toronto Raptors,DeMar DeRozan,Patrick Patterson,Bismack Biyombo,Cory Joseph,Terrence Ross,8.539204025489834,970
2016,Milwaukee Bucks,Jerryd Bayless,Greg Monroe,Khris Middleton,Giannis Antetokounmpo,Jabari Parker,-2.488529982732205,1119
2016,Washington Wizards,Marcin Gortat,John Wall,Markieff Morris,Bradley Beal,Otto Porter Jr.,1.713393156912895,819
2016,Washington Wizards,Marcin Gortat,Jared Dudley,John Wall,Bradley Beal,Otto Porter Jr.,5.877262109811093,943
2016,Washington Wizards,Marcin Gortat,Jared Dudley,Garrett Temple,John Wall,Otto Porter Jr.,-11.136152402460542,1252
2016,Houston Rockets,Dwight Howard,Trevor Ariza,James Harden,Patrick Beverley,Donatas Motiejunas,2.25313627181108,1408
2016,Indiana Pacers,Ian Mahinmi,Monta Ellis,George Hill,Paul George,Myles Turner,-3.357369518576105,2066
2016,Charlotte Hornets,Marvin Williams,Courtney Lee,Nicolas Batum,Kemba Walker,Cody Zeller,-0.6224390319072306,1768
2016,Milwaukee Bucks,Greg Monroe,Khris Middleton,Michael Carter-Williams,Giannis Antetokounmpo,Jabari Parker,-9.491321876850147,2103
2016,Dallas Mavericks,Dirk Nowitzki,Zaza Pachulia,Deron Williams,Wesley Matthews,Chandler Parsons,-6.111813783173827,1561
2016,LA Clippers,Paul Pierce,Chris Paul,JJ Redick,DeAndre Jordan,Luc Mbah a Moute,-3.67898619143698,1459
2016,Orlando Magic,Channing Frye,Nikola Vucevic,Tobias Harris,Evan Fournier,Elfrid Payton,2.382025030575482,1283
2016,Brooklyn Nets,Joe Johnson,Thaddeus Young,Brook Lopez,Wayne Ellington,Donald Sloan,1.3017417104374982,1590
2016,Chicago Bulls,Pau Gasol,Derrick Rose,Taj Gibson,Jimmy Butler,Tony Snell,-7.235788197064442,800
2016,New York Knicks,Carmelo Anthony,Jose Calderon,Arron Afflalo,Robin Lopez,Kristaps Porzingis,-5.988221611487457,2840
2016,Detroit Pistons,Ersan Ilyasova,Marcus Morris Sr.,Reggie Jackson,Andre Drummond,Kentavious Caldwell-Pope,-1.9142930717659223,3547
2016,San Antonio Spurs,Tim Duncan,Tony Parker,LaMarcus Aldridge,Danny Green,Kawhi Leonard,-8.70484975108009,3198
2016,Los Angeles Lakers,Kobe Bryant,Roy Hibbert,Jordan Clarkson,Julius Randle,D'Angelo Russell,-7.3593138372907845,2341
2016,Los Angeles Lakers,Kobe Bryant,Lou Williams,Roy Hibbert,Jordan Clarkson,Larry Nance Jr.,-11.85959583228139,885
