Group,APM,Group_Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum
-2037-2440-101108-201599-201933-,18.0901055,1230,2014,LA Clippers,271.4966667,28,41.2,80.6,0.511,8.6,22.4,0.383,25,34.9,0.719,9.5,34.9,44.3,27.3,12.3,11.7,5.8,18.6,115.9,19.4,Jamal Crawford,Matt Barnes,Chris Paul,DeAndre Jordan,Blake Griffin,0.089979778,1.581373231,3.684005674,0.685824123,1.626888786,7.668071593
-2748-201577-201587-202083-203081-,4.65432369,868,2014,Portland Trail Blazers,212.6916667,15,37.8,86.2,0.439,12,33.6,0.356,20,23.5,0.853,12.4,35.3,47.7,23.5,15.9,4.8,5.1,13.6,107.6,5.5,Dorell Wright,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,-0.209216736,0.597981199,0.578612161,0.67754777,1.402860987,3.047785381
-2203-2544-2547-2548-201596-,11.53415927,1998,2014,Miami Heat,429.6733333,35,43.3,81.1,0.534,7.2,20.3,0.354,17.1,21.8,0.782,6.6,30.1,36.7,28.1,15.6,11.5,4.6,17.4,110.9,5.7,Shane Battier,LeBron James,Chris Bosh,Dwyane Wade,Mario Chalmers,0.591094322,2.304162105,2.573892624,-0.637566541,0.848670256,5.680252765
-708-1718-2207-2733-101114-,11.48615893,913,2014,Brooklyn Nets,129.4416667,13,40.2,83.1,0.483,8.4,21.7,0.389,17.3,18.9,0.915,6.8,33.7,40.6,24.1,14.1,11.2,3.2,16.9,106,17.7,Kevin Garnett,Paul Pierce,Joe Johnson,Shaun Livingston,Deron Williams,-0.84673509,0.552020025,0.569280326,0.588509639,3.082249523,3.945324423
-101108-200755-201162-201599-201933-,11.86006968,1158,2014,LA Clippers,290.51,16,43.6,87.2,0.5,8,21.9,0.367,15.9,21.4,0.744,9.6,33.8,43.4,32,14.5,9.2,4.4,19.8,111.1,8,Chris Paul,JJ Redick,Jared Dudley,DeAndre Jordan,Blake Griffin,3.684005674,1.411051013,0.513866198,0.685824123,1.626888786,7.921635794
-2544-2747-201567-202389-202681-,20.23212934,2103,2015,Cleveland Cavaliers,480.775,33,44.4,87.3,0.508,12.1,31.4,0.386,15.3,20.2,0.758,11.4,35.5,46.9,27.9,15.3,10,4.6,13.1,116.2,20.7,LeBron James,JR Smith,Kevin Love,Timofey Mozgov,Kyrie Irving,3.332600808,0.154649276,1.101061704,1.991990497,1.895454467,8.475756752
-1717-2199-2749-101145-202718-,11.4247349,1006,2015,Dallas Mavericks,254.24,21,43.9,89.7,0.489,10.3,28.3,0.366,16.8,19.9,0.843,10.9,33.5,44.4,28.1,11.1,6.2,4.3,14.6,114.8,10.9,Dirk Nowitzki,Tyson Chandler,Jameer Nelson,Monta Ellis,Chandler Parsons,0.969400099,1.045938623,-0.245908546,1.363588901,1.046896162,4.179915239
-200746-201577-201587-202083-203081-,15.77559145,2456,2015,Portland Trail Blazers,629.5033333,32,40.3,88.6,0.454,8.7,24.6,0.352,18.7,22.8,0.819,11.3,38.8,50,22.5,12.7,7.6,5.7,16.4,107.9,10.6,LaMarcus Aldridge,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,1.967130878,0.040451364,0.546277523,2.230286602,1.280171747,6.064318115
-2730-2772-201935-201976-202700-,14.07135701,1417,2015,Houston Rockets,360.66,25,39.4,83.4,0.472,12.6,31.5,0.399,18.5,25,0.74,12.2,32.7,44.9,26.1,19.1,11.2,4.8,21.1,109.8,10.2,Dwight Howard,Trevor Ariza,James Harden,Patrick Beverley,Donatas Motiejunas,1.985205841,0.835866013,3.118663674,-0.200880034,0.023631268,5.762486762
-2585-101141-203114-203487-203507-,10.4750952,1590,2015,Milwaukee Bucks,344.005,24,42,87.5,0.48,6.9,15.3,0.448,17.5,22.7,0.769,13,33.4,46.4,28,16.5,11.7,2.8,22.2,108.3,8.7,Zaza Pachulia,Ersan Ilyasova,Khris Middleton,Michael Carter-Williams,Giannis Antetokounmpo,2.420367133,-0.502545257,3.094780592,-0.3786049,0.156635295,4.790632864
